k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9883256334988626,0.9953292412543726,1.0,0.9877193956225886,0.9890155113514312,0.995094140573743,0.9955677985175041,1.0,1.0
2,2,0.1,0.9828561013807626,0.9863092366471139,1.0,0.981931353784747,0.9837578656603535,0.9855726665238971,0.987053609509092,1.0,1.0
2,2,0.15,0.9803024858897463,0.9765213026197664,1.0,0.9792692281846502,0.9813851038265721,0.9751893796399357,0.9777973330671288,1.0,1.0
2,2,0.2,0.9792582404328717,0.9671017351793072,1.0,0.9780235897507686,0.9802899981037538,0.9654239500904973,0.9688424091074033,1.0,1.0
2,2,0.25,0.9789948354492847,0.9584864775751776,1.0,0.977958965453004,0.9801972101898206,0.9561066557262928,0.9607638253061273,1.0,1.0
2,2,0.3,0.9791719472170534,0.9507195954787134,1.0,0.9781032283265529,0.9802527472849174,0.9476958755710976,0.9535742683331461,1.0,1.0
2,2,0.35,0.9796183920939726,0.9436932550227503,1.0,0.9784534198496185,0.9806601909284,0.9407366679511903,0.9464211689906267,1.0,1.0
2,2,0.4,0.98013522797808,0.937506470810578,1.0,0.9790782049164192,0.9811821183110391,0.9345516060987257,0.9407357622324872,1.0,1.0
2,2,0.45,0.9807473410078363,0.9318954541125961,1.0,0.9797713307300803,0.9817355028936993,0.9280979244241021,0.9355739497176387,1.0,1.0
2,2,0.5,0.9813645710122778,0.9268848952706924,1.0,0.9804833459906241,0.982317722053611,0.9228104640549615,0.9308509700013796,1.0,1.0
2,2,0.55,0.9819761729409427,0.9223831621074089,1.0,0.9809339161050535,0.9829970555158302,0.9179473375007535,0.9265259910428453,1.0,1.0
2,2,0.6,0.982625335392197,0.9182145665507414,1.0,0.9815499411402443,0.9835563939199684,0.9138785877575154,0.9221912684989341,1.0,1.0
2,2,0.65,0.9832202293491662,0.9144698026941145,1.0,0.9822910208727453,0.9840865223771845,0.9096831875740805,0.9193152351579769,1.0,1.0
2,2,0.7,0.9837810497180616,0.9110769620149449,1.0,0.9829139953310123,0.9846717843506088,0.9060363354476805,0.9157970570897528,1.0,1.0
2,2,0.75,0.9842483489590446,0.908104107384364,1.0,0.9834807033715669,0.9850020044735706,0.9028305470443014,0.912687214621451,1.0,1.0
2,2,0.8,0.9847824578369377,0.9052175456122603,1.0,0.9839541238038165,0.9855476226031744,0.8997879895880208,0.9108082863794902,1.0,1.0
2,2,0.85,0.9853478694336184,0.9024443041838877,1.0,0.9846454233030387,0.986102645423973,0.8970092315888215,0.9075055345606495,1.0,1.0
2,2,0.9,0.9858084604557896,0.9000146643788383,1.0,0.9850430872430259,0.9865452300363023,0.8944618027949814,0.9058212486050513,1.0,1.0
2,2,0.95,0.9862409355450584,0.8977860861866743,1.0,0.9855370059578309,0.9869037988193509,0.8924914013437929,0.9030897767819284,1.0,1.0
2,2,1.0,0.9866197641353045,0.895760159264497,1.0,0.9858936675655293,0.9873671584946767,0.8895348539797848,0.9009566438764053,1.0,1.0
