k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9927349162500302,0.97412159238631,0.118,0.992260342316218,0.9932002500782374,0.9717198546281276,0.9762610021405534,0.088,0.14704999999999996
2,2,0.1,0.9854995866806937,0.9739642159727834,0.116,0.9845162773537708,0.9864315249858278,0.9717988159834036,0.9763639923132706,0.09,0.144
2,2,0.15,0.9782535620385864,0.9738842834445839,0.114,0.9770082566230409,0.9796261246399436,0.971469878154394,0.9763726683142487,0.08695,0.14304999999999995
2,2,0.2,0.9708958600305111,0.9739727609020471,0.116,0.9691246591111995,0.9727118485908334,0.9713466366837044,0.9763504608415559,0.088,0.14504999999999996
2,2,0.25,0.96381187164004,0.9738379527863453,0.118,0.9614113354156485,0.9661000490518589,0.9711414059631904,0.9761266535562224,0.092,0.148
2,2,0.3,0.9564970097669361,0.9740162433835144,0.116,0.9538029529843177,0.959185698725378,0.9716340581895647,0.9763255373114046,0.086,0.142
2,2,0.35,0.9490865805711336,0.9739522149183901,0.116,0.946133213709048,0.9520564641975215,0.9714232280496338,0.976187654895484,0.092,0.146
2,2,0.4,0.9419296961301231,0.9740284133958499,0.116,0.9384485150521275,0.9455327689446416,0.9716219730285468,0.976270003095915,0.09,0.142
2,2,0.45,0.9346946925554305,0.9739272704538224,0.114,0.9305663604724617,0.9389826779253813,0.9713544088299496,0.9764066191514319,0.088,0.144
2,2,0.5,0.927370663948401,0.9739540396710394,0.118,0.922560830732112,0.9312419620241503,0.9715016069650281,0.9763730327552962,0.092,0.146
2,2,0.55,0.9200922959538569,0.9738909786561781,0.114,0.9147311098276951,0.9255011321546281,0.97148308571216,0.9763430195239364,0.088,0.14
2,2,0.6,0.9125301595755201,0.9741103950614536,0.116,0.9069504451736573,0.9176672842701125,0.9716094684768842,0.9767709693137139,0.088,0.14504999999999996
2,2,0.65,0.9055659529471733,0.9741718047291447,0.118,0.8992527026416556,0.9111676438384468,0.971822538596281,0.9762222454875092,0.088,0.14904999999999996
2,2,0.7,0.8982758712289001,0.9740022736779735,0.114,0.892036848751965,0.9046807934308753,0.9715816509656702,0.9762688183828121,0.088,0.144
2,2,0.75,0.8912381945627174,0.9740272650686778,0.116,0.8842156459482633,0.8983398887391761,0.9716079248591417,0.9762799417176004,0.09,0.14704999999999996
2,2,0.8,0.8838682071096755,0.9741789882138407,0.116,0.8772348600064396,0.8919186767470384,0.971611456593784,0.9763534139955913,0.09,0.144
2,2,0.85,0.8775063623882368,0.9739244002694953,0.118,0.869182811572627,0.8851849366482698,0.9717084973395197,0.9760500264894884,0.09095,0.148
2,2,0.9,0.8692234939801533,0.9739924825621518,0.116,0.861178480646778,0.8770458927395385,0.9718561216309665,0.9761904192351994,0.088,0.142
2,2,0.95,0.8615626056134654,0.97410040760545,0.114,0.8523969921858261,0.870696563487235,0.9716289583083333,0.9763082170410438,0.088,0.144
2,2,1.0,0.8548717083130475,0.9739499462336041,0.118,0.8460385414580923,0.8632296561504726,0.9713860503747926,0.9761702489636307,0.088,0.144
