k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.992663046248542,0.9753492871966898,0.092,0.992129616074532,0.9931316524620271,0.9735397411163477,0.9774732835656977,0.068,0.122
2,2,0.1,0.9853197152208625,0.975402736861246,0.094,0.9845269163129148,0.9862100588857966,0.9731568737397347,0.9775632398255634,0.068,0.122
2,2,0.15,0.9780258704830035,0.9752273059038992,0.094,0.9767360378327746,0.9792940517290716,0.9732475038428448,0.977366101537804,0.068,0.12
2,2,0.2,0.970728140517139,0.9750184423862926,0.092,0.9689935625582419,0.9723685646890542,0.9728181806005243,0.977020747622542,0.068,0.116
2,2,0.25,0.9636068052706374,0.974906597342464,0.096,0.9611175470105237,0.9656869197819637,0.9726434338325124,0.9771523667171024,0.07095,0.122
2,2,0.3,0.9562833459569399,0.9750647448905373,0.096,0.9532744457713788,0.9587167152947291,0.9729054761909557,0.977047416191732,0.074,0.12
2,2,0.35,0.948623451918138,0.9752153065716566,0.09,0.945423797245514,0.951422529239855,0.9729807181392401,0.9771473126487267,0.06495000000000001,0.118
2,2,0.4,0.9414545532041216,0.9752891480123006,0.094,0.9376799814022463,0.9451228233941565,0.9732911698455584,0.9773761378787797,0.068,0.124
2,2,0.45,0.9341291428269072,0.9752717411740732,0.092,0.9297962528788443,0.9382793308194539,0.9733522321028274,0.9774327905142888,0.068,0.118
2,2,0.5,0.9271152123723585,0.9750246293545443,0.096,0.9223198446231068,0.9317710454960885,0.9729738775628146,0.9772335231807591,0.07095,0.12
2,2,0.55,0.9194052399457298,0.9751258333229771,0.09,0.9149798644036219,0.9247579399928247,0.9730054312093296,0.977237561339316,0.07,0.118
2,2,0.6,0.911866403010631,0.9752257572183385,0.09,0.9066228454655926,0.9170677117669443,0.9730747592956773,0.9776201781113627,0.06495000000000001,0.11704999999999996
2,2,0.65,0.9048662104927052,0.9750482934865967,0.092,0.8988798065533621,0.9113944014571461,0.9726215708688591,0.9770976274820161,0.068,0.118
2,2,0.7,0.8976890905030006,0.9750743826714984,0.092,0.8910514152813481,0.9034494318378647,0.9727021850715536,0.9773314371918466,0.068,0.116
2,2,0.75,0.8897430516284609,0.9751875518504726,0.09,0.8834941410515177,0.89647135475001,0.9732457862521335,0.9776111327084839,0.06495000000000001,0.114
2,2,0.8,0.8831408636687418,0.9750466349158375,0.096,0.8759248563842932,0.8897786954592459,0.9727830364428827,0.9770682009292634,0.072,0.122
2,2,0.85,0.875591446751153,0.9752818698213439,0.094,0.8669465815426629,0.8823698092330251,0.973166560994373,0.977327161680648,0.068,0.122
2,2,0.9,0.8679394555000516,0.9753054992970313,0.092,0.8590791344035884,0.8761643537150284,0.9732779752696643,0.9772623433260033,0.068,0.118
2,2,0.95,0.8605500440055174,0.9752322837227105,0.09,0.8521628899373838,0.8691470383349253,0.9730099224566605,0.977402303559472,0.064,0.116
2,2,1.0,0.8526955018652932,0.9753329716416039,0.09,0.8437265363421608,0.8611438637933658,0.973185199281171,0.9773294501090003,0.068,0.116
