k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9929691553260624,0.9759503669040485,0.106,0.9924768583539888,0.9934649013006044,0.9741263188624855,0.9779422807029935,0.08295000000000001,0.13
2,2,0.1,0.9860052288015922,0.9757588395479907,0.108,0.9850699713021803,0.9869125346955545,0.9739468630370868,0.9778024280784342,0.084,0.134
2,2,0.15,0.9790100566178572,0.9757364839327836,0.108,0.9776404565629953,0.9803923143137058,0.9736454676732483,0.9776443872067498,0.08095000000000001,0.136
2,2,0.2,0.9718328663629325,0.9760071197162049,0.108,0.9699912860443023,0.9736992363940081,0.974152281470453,0.9778129252342443,0.084,0.13504999999999998
2,2,0.25,0.9650184641685365,0.9757933853489,0.11,0.9626238045153087,0.9672677859667485,0.9738405684955519,0.9778897921170117,0.082,0.14
2,2,0.3,0.9578136618107769,0.9759356557015367,0.106,0.9551796396087855,0.9604145953169241,0.9738613591366834,0.9777471148657498,0.08,0.134
2,2,0.35,0.9509660354061714,0.9757662345087479,0.106,0.9476683836026719,0.9541546084098129,0.9738968742688443,0.9775490791643593,0.08295000000000001,0.134
2,2,0.4,0.9438737186315052,0.975788634293805,0.108,0.9404498649867766,0.9475333859605896,0.9736875198335836,0.9776284594418981,0.08,0.134
2,2,0.45,0.9368285588150054,0.9758674253741949,0.106,0.9325691769286568,0.9412232409406819,0.9740532046365799,0.9777904015826842,0.084,0.13
2,2,0.5,0.9294911565666002,0.9761407841702813,0.106,0.9246442792688766,0.9339383901863149,0.9742696384801052,0.9778633318139194,0.082,0.132
2,2,0.55,0.9230353272354836,0.9757716176327323,0.11,0.9177296607087104,0.9283169180010279,0.9736561930863976,0.9776859944821465,0.08095000000000001,0.136
2,2,0.6,0.9158960560320604,0.9758028405854564,0.108,0.910818721030852,0.9216079590996547,0.9739307838194551,0.9775649184189953,0.082,0.14
2,2,0.65,0.9089735223601811,0.9758562207450157,0.11,0.9036154376847169,0.9147895657112524,0.9738158417624929,0.9776359653651766,0.08295000000000001,0.136
2,2,0.7,0.9021500132098303,0.9758043061558908,0.108,0.8957839003817772,0.9080128615786706,0.9736274010131591,0.9777307484362201,0.08,0.138
2,2,0.75,0.894655521155849,0.9759070309186759,0.108,0.8880281892045186,0.901397991049549,0.9738929090588702,0.9778326168461051,0.08,0.134
2,2,0.8,0.8877172105743049,0.975837803625482,0.108,0.8805552267439396,0.8954635276168788,0.9738747637188616,0.9778427170895658,0.08295000000000001,0.13704999999999998
2,2,0.85,0.8809534538486405,0.9758350151138406,0.11,0.8734492805254342,0.8883766252673275,0.9740305842062068,0.9776946420660844,0.08095000000000001,0.138
2,2,0.9,0.8740993989924735,0.9757022662352524,0.108,0.8655584269733918,0.8823798526337654,0.9737885598156756,0.977627303040857,0.082,0.13704999999999998
2,2,0.95,0.8668853710437165,0.9759046849414171,0.11,0.8589076184020542,0.8749113370432742,0.9737293705695954,0.9779850896462288,0.082,0.138
2,2,1.0,0.8598307909666549,0.9758153179086096,0.108,0.8509804747642501,0.8680589189345915,0.9736458035779406,0.9775616125166644,0.08095000000000001,0.138
