k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9893671146463862,0.9957353221740092,1.0,0.988799895371588,0.9899800827485922,0.9955175605830995,0.9959757015025048,1.0,1.0
2,2,0.1,0.9843692095651841,0.9875436380492019,1.0,0.9834748168351815,0.9852262395339219,0.9868097101619242,0.9882879652361766,1.0,1.0
2,2,0.15,0.9820713739831315,0.9785657542679467,1.0,0.9811200896523877,0.9832170443618373,0.9772839262039599,0.9795905900767183,1.0,1.0
2,2,0.2,0.9811280895640417,0.9699634552547186,1.0,0.9801196521442024,0.9821651782464417,0.9683378964785463,0.9715547322964669,1.0,1.0
2,2,0.25,0.9808809568747103,0.9621288077885866,1.0,0.9798621536722811,0.9819491355817731,0.9598943667139721,0.9642973424878848,1.0,1.0
2,2,0.3,0.9810489746902163,0.9550243305069905,1.0,0.9799684339799177,0.9820352104955868,0.9524455429573114,0.9573506234162397,1.0,1.0
2,2,0.35,0.9813809423525152,0.9487540124044742,1.0,0.9802584992608874,0.9823201384780526,0.9459576035460094,0.951551920510076,1.0,1.0
2,2,0.4,0.9819319870168833,0.9429694242341603,1.0,0.9809765820735942,0.9828655333624297,0.9394647612462135,0.9461925786759129,1.0,1.0
2,2,0.45,0.9824139539529044,0.9379938320290512,1.0,0.9813818379921228,0.9833004728972012,0.9345911613504623,0.9413441633857058,1.0,1.0
2,2,0.5,0.9830183321073619,0.9333456359273877,1.0,0.98207097383888,0.9838964171633774,0.9293298961248538,0.9367793283311252,1.0,1.0
2,2,0.55,0.9836024499414391,0.9291842519422825,1.0,0.9826889342764549,0.9844483893137727,0.9245097338341545,0.9329033517880251,1.0,1.0
2,2,0.6,0.9842097671149445,0.9253372131041537,1.0,0.9833834303505518,0.9850883924444545,0.9213841779831409,0.9291693210448271,1.0,1.0
2,2,0.65,0.9846792012362213,0.922068999027987,1.0,0.9838307092542855,0.9855534817076143,0.917729737740304,0.9260555865932727,1.0,1.0
2,2,0.7,0.9852550130204181,0.9188587139986609,1.0,0.9844787366803566,0.9859814228857302,0.9144964693525957,0.9233880150197253,1.0,1.0
2,2,0.75,0.9856974356246166,0.9161045586785886,1.0,0.9849063383754888,0.9865046701092541,0.9113544252593656,0.9205336360333142,1.0,1.0
2,2,0.8,0.9861733371382667,0.9134848847180755,1.0,0.9854443110397005,0.9869061190260782,0.908294979321334,0.9179757300621867,1.0,1.0
2,2,0.85,0.986595417175205,0.9111441568181967,1.0,0.9858553108639998,0.9873037304295456,0.9059757927387634,0.9162968500274138,1.0,1.0
2,2,0.9,0.9870644892867281,0.9088207501696323,1.0,0.9863103193959999,0.9878258971998414,0.9034597727679368,0.9139216210470593,1.0,1.0
2,2,0.95,0.9874273686338773,0.9068360967599652,1.0,0.9867326375446919,0.988080585046546,0.9020247433403733,0.9121972693784056,1.0,1.0
2,2,1.0,0.9877856295592085,0.9049701677999251,1.0,0.9871035578830752,0.9884653674994569,0.9002455714991705,0.9104634989820182,1.0,1.0
