k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9869683228505114,0.9986744368949975,1.0,0.9862594438350698,0.9876846027955002,0.9985947778510521,0.9987471722236356,1.0,1.0
2,2,0.1,0.9780775399556162,0.9956241090300434,1.0,0.9767993774493116,0.9793265933396819,0.9953936167888716,0.9958509610794488,1.0,1.0
2,2,0.15,0.9719963303679059,0.9916246104331762,1.0,0.9702447539492052,0.973537689111971,0.9911861622852101,0.992068931897525,1.0,1.0
2,2,0.2,0.9678308923024238,0.9871842421091572,1.0,0.9660272534752113,0.9695985654148997,0.9865122049772833,0.987944924845594,1.0,1.0
2,2,0.25,0.9649919272328342,0.9826019143329402,1.0,0.9629522916130498,0.9668058819075371,0.9815975939313346,0.9835399448932308,1.0,1.0
2,2,0.3,0.9630679007264065,0.9780716105505269,1.0,0.9610967709388427,0.9651263829157057,0.9767646226559237,0.9792680749095143,1.0,1.0
2,2,0.35,0.9617744173458218,0.9737063672376157,1.0,0.9593675160364576,0.9638213642974129,0.9722730475563852,0.9751800084990033,1.0,1.0
2,2,0.4,0.961020339672715,0.9694691079830209,1.0,0.9586583254407508,0.9630324836202221,0.9678926963032349,0.9711022200150767,1.0,1.0
2,2,0.45,0.9606179888921873,0.9654449187014692,1.0,0.9584971822559578,0.9629786923109901,0.9634388119799571,0.96737982887036,1.0,1.0
2,2,0.5,0.9604894776671287,0.9616168569617582,1.0,0.958270066137741,0.9628929421077143,0.9594367799457342,0.9636035797272733,1.0,1.0
2,2,0.55,0.9606684880855245,0.9578877998401906,1.0,0.9585621990988131,0.9629182036809731,0.95547920257465,0.9601180060296315,1.0,1.0
2,2,0.6,0.9608703012163919,0.9544843641228901,1.0,0.9584831668315795,0.9630681620750084,0.9519254500205215,0.9568304041452518,1.0,1.0
2,2,0.65,0.9611658901960545,0.9512870176577635,1.0,0.958915893706525,0.9632711101676001,0.9484968069976688,0.9543728908477397,1.0,1.0
2,2,0.7,0.961588757553108,0.9482087716563035,1.0,0.9595000490804504,0.9636851845252731,0.9452353518050969,0.9511975057977529,1.0,1.0
2,2,0.75,0.9621290673749747,0.9452832256408479,1.0,0.959924706932823,0.9642239666462796,0.9420674000874361,0.9481939869425211,1.0,1.0
2,2,0.8,0.9626517687215481,0.942547744232296,1.0,0.9608711403135294,0.9646174480127414,0.9392106470114135,0.9457066783502406,1.0,1.0
2,2,0.85,0.9631526368655213,0.940025134651779,1.0,0.9611269887131187,0.9651324313144926,0.9370214693981181,0.9433233522658107,1.0,1.0
2,2,0.9,0.9636795114822703,0.9376213963535469,1.0,0.9616629522096695,0.965531221740382,0.9342082398171558,0.9408938487195925,1.0,1.0
2,2,0.95,0.9642053057210122,0.9353641490438563,1.0,0.9618535661019683,0.966233805629508,0.9318824285580325,0.9389568085248317,1.0,1.0
2,2,1.0,0.9649711543629694,0.933000557098931,1.0,0.9629794952305081,0.9667682618663753,0.9288244263968787,0.9367960625156744,1.0,1.0
