k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9890403483885545,0.9955703192162167,1.0,0.9884156479932806,0.989688309079768,0.9953475531446087,0.9958329929467311,1.0,1.0
2,2,0.1,0.9838742263857679,0.9871267517679477,1.0,0.982952684643956,0.984739150016559,0.9864501121707242,0.9878504947130827,1.0,1.0
2,2,0.15,0.981491819093109,0.9778687527036223,1.0,0.9804376167667839,0.9825646776899117,0.9765584828501476,0.979216856111605,1.0,1.0
2,2,0.2,0.980512693116623,0.9689812683270818,1.0,0.9793978605402994,0.9816187886787813,0.9671916902018176,0.9706820348148377,1.0,1.0
2,2,0.25,0.9802712377107866,0.960839504457518,1.0,0.9791075637034281,0.9814464457026895,0.958601130173364,0.9629350622294119,1.0,1.0
2,2,0.3,0.9803995531061734,0.9535706305717795,1.0,0.9791629477051521,0.9814681831274068,0.9509243235380724,0.956255331690954,1.0,1.0
2,2,0.35,0.9808221903733527,0.9469240748220372,1.0,0.9798083362020602,0.9820030291012793,0.9439735753453233,0.9498819569690262,1.0,1.0
2,2,0.4,0.9813470334282012,0.9409948960219804,1.0,0.9803766905542298,0.9824335180740761,0.9376665393618632,0.9442591764626871,1.0,1.0
2,2,0.45,0.981913252706856,0.9357047046275593,1.0,0.9809941181609878,0.9829083525885959,0.9319803928680811,0.9391038674726214,1.0,1.0
2,2,0.5,0.9824441390839802,0.931052328900935,1.0,0.9814449806920595,0.9833795101052799,0.9267373412441774,0.9348357718435277,1.0,1.0
2,2,0.55,0.9830637468029813,0.9266998793638599,1.0,0.9820261515275329,0.9840809664578444,0.922665293592294,0.9307002518021857,1.0,1.0
2,2,0.6,0.9836524990380849,0.9227811941068083,1.0,0.9827532462148852,0.9845821544883586,0.9179522730237448,0.9268847644791606,1.0,1.0
2,2,0.65,0.9841671919435443,0.9193193987106292,1.0,0.9833198572360095,0.9850726538332338,0.9146377604160193,0.9240485779789551,1.0,1.0
2,2,0.7,0.9847147190530725,0.9160631511383842,1.0,0.9837213834394465,0.9856184813501205,0.910786441259305,0.9209768218179809,1.0,1.0
2,2,0.75,0.9851987895485287,0.9131631976651011,1.0,0.9842804255920125,0.9860348634810364,0.9085593155608642,0.9183455388698962,1.0,1.0
2,2,0.8,0.9857291211923953,0.9103549716869918,1.0,0.9848703966757812,0.9865658996067961,0.9048676102194322,0.915418845579641,1.0,1.0
2,2,0.85,0.9861637555881015,0.9079097447971778,1.0,0.9853759686165472,0.9870089422362583,0.9025813795790758,0.9126493139680728,1.0,1.0
2,2,0.9,0.9866089914932276,0.9055793593670328,1.0,0.9858649383549084,0.9873376285726584,0.9004544481903993,0.9112349417114215,1.0,1.0
2,2,0.95,0.9869771120826718,0.9035278164872648,1.0,0.9862699807644766,0.9876948207799785,0.8982369268288604,0.9091975070842006,1.0,1.0
2,2,1.0,0.9874137600547991,0.901451763290219,1.0,0.9866998784887281,0.9881691065387288,0.8952806600900474,0.9072608010568506,1.0,1.0
