k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9868325943805543,0.9986648798562223,1.0,0.9860146193194507,0.98755195310946,0.9985961572718671,0.9987372875815661,1.0,1.0
2,2,0.1,0.9778665782822095,0.9955683189505534,1.0,0.976576120920655,0.9790979125156606,0.9953205024272731,0.9957982296471305,1.0,1.0
2,2,0.15,0.9717118216890818,0.9915359366929536,1.0,0.9699469457682958,0.9732263724108555,0.9910134874493499,0.9919862229387858,1.0,1.0
2,2,0.2,0.9674824003126661,0.9870643020943484,1.0,0.9658846260564539,0.9691695893753787,0.9862912970239439,0.9877358531342011,1.0,1.0
2,2,0.25,0.9646123961671669,0.9824249935975335,1.0,0.9625159176384993,0.9665234180116071,0.9815060928840272,0.9834778308491204,1.0,1.0
2,2,0.3,0.9626285948522089,0.9778742764542854,1.0,0.96067104093595,0.9648081710074822,0.9766493333418957,0.9790243881768219,1.0,1.0
2,2,0.35,0.961388658855572,0.9733809783890843,1.0,0.9592877422192406,0.9634060166937788,0.9718440998371911,0.9748382278096103,1.0,1.0
2,2,0.4,0.9606427254332472,0.9690660146145744,1.0,0.958442226323515,0.9631037566992459,0.9674428739035593,0.9707158589551634,1.0,1.0
2,2,0.45,0.9602677286645651,0.9649407905804817,1.0,0.958215468279438,0.9624327289362615,0.9631715000177297,0.9667884595134387,1.0,1.0
2,2,0.5,0.9601972656977383,0.9609916233685293,1.0,0.9579979891774424,0.9623078736559076,0.958800887899254,0.963187339809686,1.0,1.0
2,2,0.55,0.9602356191856987,0.9573469095366031,1.0,0.9580268899146119,0.9624339254659842,0.9547460014878827,0.9597722350672447,1.0,1.0
2,2,0.6,0.9605062912925325,0.9538175154764097,1.0,0.9582217578752831,0.9625275028526187,0.9512330590033188,0.9563703596818052,1.0,1.0
2,2,0.65,0.9608593700574737,0.9505033782995661,1.0,0.9587321469198941,0.963150446551927,0.9477020882693519,0.9530433923600231,1.0,1.0
2,2,0.7,0.9613055283188054,0.9473620941979916,1.0,0.9590642408551532,0.9633062087398934,0.9444597623603976,0.9504229121906825,1.0,1.0
2,2,0.75,0.9617760399382776,0.9444316887919476,1.0,0.9596561223025155,0.9637789481042871,0.9407435874838846,0.9473738649667665,1.0,1.0
2,2,0.8,0.9622365017525678,0.941712328516667,1.0,0.9598488329770037,0.9644524722766067,0.9385974926035291,0.9448177801816945,1.0,1.0
2,2,0.85,0.9628510857139709,0.9390267299394527,1.0,0.9607103160240905,0.9648383450918813,0.9355111905728702,0.9423554635180192,1.0,1.0
2,2,0.9,0.9633998271217638,0.9365694803624037,1.0,0.961183754374879,0.9655671840690879,0.9328587852402848,0.9399280002944487,1.0,1.0
2,2,0.95,0.9640195603636591,0.9341757886272933,1.0,0.9620057550200409,0.9661544984408824,0.9307053642561302,0.9379340352793069,1.0,1.0
2,2,1.0,0.9646608890073647,0.9318938183378033,1.0,0.9625717598233278,0.9667123887228555,0.9282666612836399,0.9360661440815368,1.0,1.0
