k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9927612779237646,0.9748793962315482,0.102,0.9923323070055037,0.9932301669005863,0.9726920190413046,0.9769787730203862,0.076,0.12904999999999997
2,2,0.1,0.9855046184024409,0.974769902384048,0.102,0.9844062652497074,0.9863384444704715,0.9725390387396462,0.9770119240837295,0.076,0.12704999999999997
2,2,0.15,0.9783152001302704,0.9748266696447104,0.104,0.9770161468358125,0.9797291532612128,0.9727423820975479,0.9770985142028458,0.076,0.132
2,2,0.2,0.9709313067795934,0.9749732798879375,0.1,0.9689923511685193,0.9728446828131244,0.9727509775179413,0.9773486798849486,0.076,0.12504999999999997
2,2,0.25,0.9638558760389148,0.97476972861653,0.104,0.9614474929733777,0.9662122010053894,0.9728060580442413,0.9770365232092195,0.076,0.132
2,2,0.3,0.9565338665181566,0.9748062688788807,0.106,0.9541820945860622,0.9592102081055974,0.9727768660310524,0.9767835246052459,0.07895,0.134
2,2,0.35,0.9491331010198423,0.9749248350905433,0.098,0.9455087024964025,0.9525352317228968,0.9727560380807065,0.9770608390275318,0.074,0.126
2,2,0.4,0.9418997466018889,0.9747985702129445,0.098,0.9383078943600911,0.9454631864168407,0.9725072534807848,0.9769132989825675,0.074,0.126
2,2,0.45,0.9349302119471313,0.974741489141463,0.102,0.930854094265386,0.9387460313003688,0.9726851646192707,0.976683046287537,0.076,0.128
2,2,0.5,0.9275124680869554,0.974872000644398,0.104,0.9225854830964006,0.9318439806789054,0.9726970629646332,0.9769724663186335,0.07895,0.13504999999999998
2,2,0.55,0.9201957876927562,0.9747754831471219,0.1,0.915285935983341,0.9251739017824204,0.972623846383383,0.9770776748703468,0.07695,0.12704999999999997
2,2,0.6,0.9129491589194647,0.9748308634366636,0.1,0.9076652894192383,0.9179292618084115,0.9727997352627364,0.9768012216447327,0.074,0.12704999999999997
2,2,0.65,0.9057360493250184,0.9748323480675167,0.102,0.9001119729140085,0.9119403948017513,0.9725962609248632,0.9768679692085716,0.08,0.13
2,2,0.7,0.8980366197277679,0.9750149110501791,0.098,0.8915629323767382,0.9039370091508742,0.9728918987336908,0.9770890275264156,0.07295,0.12104999999999995
2,2,0.75,0.8910189099192137,0.9749902792934347,0.102,0.8838811219275393,0.8979746472088358,0.9727739751697274,0.9770036548231049,0.076,0.13
2,2,0.8,0.8842360268437417,0.9747535407654326,0.102,0.8763222260806938,0.8918562068580004,0.9725238826377781,0.9769997001992708,0.078,0.128
2,2,0.85,0.8768155058365162,0.9748608636860352,0.104,0.8692577975908614,0.88482002165469,0.9726093601570579,0.9768977924961785,0.082,0.132
2,2,0.9,0.8690935244884329,0.9750371643467654,0.102,0.861516900491031,0.8773130980313558,0.9729238725687548,0.9772759815452571,0.07695,0.13104999999999997
2,2,0.95,0.8619659318486735,0.9748939492333077,0.102,0.8525315609999994,0.8712494445805645,0.972532155686463,0.9769955348213049,0.076,0.128
2,2,1.0,0.8547069506197879,0.9748634973916503,0.098,0.8460053000413845,0.864297338958786,0.9726553829890395,0.9771853112462026,0.076,0.12304999999999995
