k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9890701185295888,0.9956191594874453,1.0,0.9884675092085443,0.9896737346216303,0.9953578153855548,0.9958382155184545,1.0,1.0
2,2,0.1,0.9839333743635161,0.987201496088539,1.0,0.9830736438862816,0.9847954148869842,0.9864157392234988,0.9879332543043132,1.0,1.0
2,2,0.15,0.9815577339970095,0.9780008292806749,1.0,0.980464004577487,0.9825842898895704,0.976818786639681,0.9791327162366665,1.0,1.0
2,2,0.2,0.9806172053536341,0.9691047575475852,1.0,0.9795094403655293,0.9816744938142087,0.9673655505653349,0.9707930709169743,1.0,1.0
2,2,0.25,0.9803442244661055,0.9610862082100209,1.0,0.9793257365122667,0.9815534173159629,0.9590769156044902,0.9633786571910891,1.0,1.0
2,2,0.3,0.9805200506513084,0.9537853682556423,1.0,0.9794182744803684,0.9814763581643664,0.9513342106528898,0.9560639835446164,1.0,1.0
2,2,0.35,0.9809110492382872,0.9472469813944769,1.0,0.9797939630392831,0.9818764365860988,0.9448425244053585,0.9498912582571235,1.0,1.0
2,2,0.4,0.9814184278693183,0.9414041509711361,1.0,0.9805101048758095,0.9824179087800562,0.9381548707226641,0.9447416348074149,1.0,1.0
2,2,0.45,0.9819416652143161,0.9362416089809121,1.0,0.9809802829101071,0.9829751433670769,0.9326411106477684,0.9394800655361835,1.0,1.0
2,2,0.5,0.982556547513564,0.9314729407166427,1.0,0.9815560046324421,0.9835419773405211,0.9274008341876833,0.9352180998780529,1.0,1.0
2,2,0.55,0.9831295279176554,0.9272468259008778,1.0,0.9822112017397884,0.9841516773486754,0.9234107493215746,0.9310355325843417,1.0,1.0
2,2,0.6,0.9837165775709357,0.9233641157312905,1.0,0.9828508475039762,0.9846252646822076,0.919232081379405,0.9280137112497184,1.0,1.0
2,2,0.65,0.9842567204028719,0.9198963172226943,1.0,0.9833626703805047,0.9850738665770445,0.915266756703001,0.9246326694866395,1.0,1.0
2,2,0.7,0.9847868873421702,0.9167140853181344,1.0,0.9838614740310412,0.9856050141674613,0.9123163644879765,0.9213737933444611,1.0,1.0
2,2,0.75,0.9853295940574558,0.9137078599729754,1.0,0.9845072824048605,0.9860781404576614,0.9081950863991849,0.9185391890055005,1.0,1.0
2,2,0.8,0.9857524501005498,0.9111643381000979,1.0,0.9848804066027206,0.9864773850382285,0.9063866841590948,0.9158143888773501,1.0,1.0
2,2,0.85,0.9862533888435032,0.9086062445785715,1.0,0.9855195101034645,0.987007236723809,0.9036599895750178,0.9132635364145478,1.0,1.0
2,2,0.9,0.986650410964815,0.9063905530770483,1.0,0.9860030275141416,0.9873862305229314,0.9014191288348175,0.9119617353991127,1.0,1.0
2,2,0.95,0.9870506757125836,0.9043107753277158,1.0,0.9863442605227329,0.9878595540575398,0.8993345691776835,0.9099644488782924,1.0,1.0
2,2,1.0,0.9874498548901454,0.9023226282766396,1.0,0.9867836769693707,0.9882363585481545,0.8966355391884382,0.9074892271420525,1.0,1.0
