k,n,lam,publishers_welfare,users_welfare,convergence_ratio,publishers_welfare_ci_low,publishers_welfare_ci_high,users_welfare_ci_low,users_welfare_ci_high,convergence_ratio_ci_low,convergence_ratio_ci_high
2,2,0.05,0.9883263680404953,0.9953277729904084,1.0,0.9877207826973872,0.9889435101519689,0.9950518607475966,0.9955679017857346,1.0,1.0
2,2,0.1,0.9828561937525839,0.9863091317067888,1.0,0.9818741885427854,0.9838373039972351,0.9856109997333711,0.9870734115731741,1.0,1.0
2,2,0.15,0.9803008709766693,0.9765245157137017,1.0,0.9792538343833356,0.9813849514437234,0.9752528348672467,0.9776885260085161,1.0,1.0
2,2,0.2,0.9792608608551832,0.9670967334834445,1.0,0.9782107725314232,0.9803765124577479,0.9654112255170832,0.9687234696810761,1.0,1.0
2,2,0.25,0.9789974678391627,0.9584807850760398,1.0,0.9778336946711972,0.9800265730623929,0.9564628003186278,0.9605181517503932,1.0,1.0
2,2,0.3,0.9791696334985093,0.9507243675224013,1.0,0.9780551915436035,0.9801705516949236,0.9480233649602123,0.9531816460395902,1.0,1.0
2,2,0.35,0.9796143541312794,0.9437012699704271,1.0,0.9786644635914208,0.9806159647666656,0.9403632474505079,0.9466332304435489,1.0,1.0
2,2,0.4,0.9801331532971493,0.937511443152513,1.0,0.9790273225266051,0.9811285575821955,0.9341041197181499,0.941127158457361,1.0,1.0
2,2,0.45,0.980743744856051,0.9319022622790398,1.0,0.9797028649489454,0.981768895239131,0.9281754637727624,0.9352314385522745,1.0,1.0
2,2,0.5,0.9813526808618512,0.9269086478432398,1.0,0.9803143063184301,0.982293427405907,0.9230878096392687,0.9308105883141075,1.0,1.0
2,2,0.55,0.9819756611853886,0.9223837433283013,1.0,0.9810420251185833,0.9829052570972632,0.9179543322307863,0.925912688263221,1.0,1.0
2,2,0.6,0.9826345380352377,0.918194870626324,1.0,0.9817450450007653,0.9835248160272739,0.914001133101852,0.9227534721775301,1.0,1.0
2,2,0.65,0.9832187241165263,0.9144731864668806,1.0,0.9822323071698569,0.9840620705101668,0.9100505264242134,0.9191532212698117,1.0,1.0
2,2,0.7,0.9837811602471356,0.9110793834537201,1.0,0.9828861580826271,0.9845342459257854,0.9063015459770477,0.9157699717222822,1.0,1.0
2,2,0.75,0.9842627720949004,0.9080710928031054,1.0,0.9835215519273224,0.9851547324163293,0.9029736739885615,0.9128356157578199,1.0,1.0
2,2,0.8,0.9847864584598545,0.9052111999642216,1.0,0.9839879802822777,0.9855674941285577,0.9000793116935581,0.9104983396475681,1.0,1.0
2,2,0.85,0.9853458013952159,0.9024509961524056,1.0,0.9846014308579488,0.986060815368313,0.8971614613654465,0.9080156341154552,1.0,1.0
2,2,0.9,0.985819865263166,0.8999914755591941,1.0,0.9850389528033849,0.986615467514173,0.8956398557648951,0.9062268653823935,1.0,1.0
2,2,0.95,0.9862452462132995,0.8977749247370563,1.0,0.9855463480563345,0.9869537735837686,0.8925735959842893,0.9027703372964406,1.0,1.0
2,2,1.0,0.9866189754518625,0.8957621793648605,1.0,0.9858913959835425,0.9874438199190442,0.8897115351210658,0.9008186356683087,1.0,1.0
